@id|@lon|@lat|shop|name|addr:city|addr:postcode|addr:street|addr:housenumber|website|contact:email|phone
288172339|15.4084111|47.0718514|bicycle|ZEG - Roman Neubauer|Graz|8020|Alte Poststraße|130|||
289182753|15.4656583|47.0629930|chemist|dm|Graz|8010|Plüddemanngasse|70|||
289182754|15.4658017|47.0628587|bakery|Martin Auer|Graz|8010|Plüddemanngasse|70-72|||
289414403|15.4144717|47.1032105|no|Kuss|Graz|8045|Weinzöttlstraße|7-15|||
289440032|15.4555288|47.0686990|bakery|Hubert Auer|Graz|8010|Nibelungengasse|24|http://www.hubert-auer.at||+43 5 96 69 219
290420485|15.4544972|47.0683651|kiosk|Trafik Spreitzhofer|Graz|8010|Nibelungengasse|13||monika.spreitzhofer@speed.at|
290422098|15.4551828|47.0674114|bicycle|Bicycle|Graz|8010|Rechbauerstraße|57|www.bicycle.at||+43 316 823026
316419529|15.4438171|47.0671951|butcher|Geflügel Draxler|Graz|8010|Jakominiplatz|13|http://www.gefluegel-draxler.at/||+43 316 827321
319117537|15.4243299|47.0730341|gift|Fotostudio Fritz Langmann|Graz|8020|Hans-Resel-Gasse|20|http://foto.fritz.st||
321250793|15.4657424|47.0628173|books|Libro|Graz|8010|Plüddemanngasse|72|||
327097865|15.4035643|47.0809613|supermarket|Billa|Graz|8020|Peter-Tunner-Gasse|47|||
339777457|15.4317369|47.0821823|vacant||Graz|8010|Körösistraße|56|||
344228490|15.4149109|47.1045140|bicycle|Bikestore Graz Nord|Graz|8045|Am Andritzbach|34|http://www.bikestore.cc/info_pages.php/pages_id/36|graznord@bikestore.cc|
344229378|15.4259162|47.1013143|kiosk|Tabak Trafik|Graz|8045|Andritzer Reichsstraße|24a|||
364371345|15.4328394|47.0824187|convenience|Kornwaage|Graz|8010|Theodor-Körner-Straße|47|http://kornwaage.at/|info@kornwaage.at|
366271309|15.4404713|47.0675619|supermarket|denn's Biomarkt|Graz|8010|Joanneumring|8-10|||
366566726|15.4399109|47.0677598|florist|Blumen Hajek|Graz|8010|Schmiedgasse|34|||
366566728|15.4379453|47.0704764|supermarket|Billa|Graz|8010|Hauptplatz|3|||
366568258|15.4462849|47.0648930|hairdresser|Hairgott|Graz|8010|Schießstattgasse|8|http://www.hairgott.cc||
366573455|15.4291130|47.0711313|kiosk|Trafik||8020|Annenstraße||||
367079334|15.4672239|47.0795736|supermarket|Billa|Graz|8010|Stiftingtalstraße|3-7|||+43 316 326789
369399156|15.4265304|47.0513483|supermarket|Billa|Graz|8020|Kapellenstraße|1|||
369511878|15.4471863|47.0662927|supermarket|Spar Markt|Graz|8010|Dietrichsteinplatz|12|https://www.spar.at||+43 316 824885
369825069|15.4809449|47.1019417|chemist|BIPA||8044|Mariatroster Straße||||
371194638|15.4587509|47.0755552|supermarket|Spar|Graz|8010|Leonhardstraße|95|||0043 316 348586
371194848|15.4485495|47.0711409|supermarket|Spar|Graz|8010|Maiffredygasse|8|||+43 316 329490
371196594|15.4385115|47.0549962|supermarket|Spar|Graz|8010|Neuholdaugasse|68|||
371197149|15.4368890|47.0719980|supermarket|Eurospar|Graz|8010|Sackstraße|7-13|||
371197426|15.4419494|47.0692605|supermarket|Spar|Graz|8010|Hans-Sachs-Gasse|14|||
371197467|15.4337029|47.0811359|supermarket|Spar|Graz|8010|Theodor-Körner-Straße|40|||
371202880|15.4285791|47.0717809|supermarket|Spar|Graz|8020|Volksgartenstraße|3-5|||
371203832|15.4096242|47.0729755|supermarket|Nah&Frisch Extra-Markt|Graz|8020|Laudongasse|25|http://www.brauhaus-graz.at/nah_frisch/index.html||+43 316 818506
371204222|15.4262521|47.0607948|supermarket|Interspar Hypermarkt|Graz|8020|Lazarettgürtel|55|||
371392798|15.4962908|47.0770538|supermarket|Spar|Graz|8047|Ragnitzstraße|177|https://www.spar.at||+43 316 301150
371394846|15.4175451|47.0335282|supermarket|Interspar|Graz|8054|Weblinger Gürtel|25|||
371395088|15.3993247|47.0181909|supermarket|Spar|Graz|8054|Kärntner Straße|451|||
372405647|15.4425404|47.0640704|supermarket|Billa|Graz|8010|Conrad-von-Hötzendorf-Straße|2|https://www.billa.at||
372409546|15.4216350|47.1136356|supermarket|Billa|Graz|8045|Sankt-Veiter-Straße|11-13|||
372412070|15.4071377|47.0929559|convenience|Billa|Graz|8051|Wiener Straße|234|||
372414302|15.4278941|47.0709558|supermarket|Billa|Graz|8020|Annenstraße|23|||
372414702|15.4302029|47.0759409|supermarket|Billa|Graz|8020|Lendplatz|36-37|https://www.billa.at||
372425895|15.4297480|47.0668937|supermarket|Billa|Graz|8020|Rösselmühlgasse|12|||
372479468|15.3971177|47.1055521|supermarket|Merkur|Graz|8051|Wienerstraße|351|||
382377318|15.4896664|47.0775809|supermarket|Penny Markt|Graz|8047|Ragnitzstraße|148|||
382380895|15.4655206|47.0642172|stationery|Pagro|Graz|8010|Plüddemanngasse|59|https://www.pagro.at/||
382382612|15.4003266|47.0249612|chemist|Bipa|Graz|8054|Kärntner Straße|392|||+43 316 252130
382384686|15.4310640|47.0711379|supermarket|Penny Markt|Graz|8020|Annenstraße|8|||
384899971|15.4880699|47.1060057|kiosk||||||||
418715361|15.4448655|47.0781353|vacant||Graz|8010|Heinrichstraße|8|||
418715362|15.4446518|47.0780838|convenience|Meislmichl|Graz|8010|Heinrichstraße|8|http://www.meislmichl.at||
418715364|15.4444663|47.0769429|convenience|Feinkost Lichtenegger|Graz||Glacisstraße|7|||
446864114|15.4379464|47.0713527|kiosk||||||||
446865252|15.4410765|47.0705125|beauty|Fein und Flink|Graz|8010|Stempfergasse|3|http://www.feinundflink.at/de/impressum/||
446878966|15.4398326|47.0678385|travel_agency|GRUBER Reisen|Graz|8010|Kaiserfeldgasse|11|https://www.gruberreisen.at/reisebueros/graz/|iata@gruberreisen.at|
465226767|15.4000794|47.0684371|dry_cleaning|Textilreinigung Norge|Graz|8020|Eckertstraße|89|||
465226888|15.4071910|47.0683287|tabacco|Tabak Trafik|Graz|8020|Eckertstraße||||
465226896|15.4014269|47.0682347|hairdresser|Maria & Maria|Graz|8020|Eckertstraße|43|http://www.mariaundmaria.at/standorte/graz-eckertstrasse-77||+43 (316) 57 39 90
465228452|15.4010669|47.0676912|florist|Blumen Skofitsch|Graz|8020|Karl-Morre-Straße|52|||
478061669|15.4356432|47.0739037|shoes|GEA|Graz|8010|Sackstraße|36|||
560424402|15.4680507|47.0668305|seafood|Sofisch|Graz|8010|Waltendorfer Hauptstraße|23||willkommen@sofisch.at|
566804789|15.4469136|47.0751196|vacant||Graz|8010|Zinzendorfgasse|6|||
604701256|15.4429368|47.0632695|optician|Wutscher Optik|Graz|8010|Conrad-von-Hötzendorf-Straße|12|||
616898594|15.4381537|47.0718068|shoes|Foot Locker|Graz|8010|Sporgasse|5|||
616898598|15.4383610|47.0717384|bakery|Sorger|Graz|8010|Sporgasse|4|||
669650728|15.4375207|47.0710195|beverages|Jodl|Graz|8010|Davidgasse|4|http://www.jodl.cc/||
690692360|15.4427332|47.0669651|vacant||Graz|8010|Klosterwiesgasse|2|||
817326113|15.3964634|47.0566701|kiosk|Trafik|||||||
817326203|15.3962979|47.0566894|florist|Blumen Kreativ|||||||
829114285|15.4342487|47.0707798|bakery|Hubert Auer|Graz|8020|Südtiroler Platz|1|||
829114307|15.4244803|47.0722261|outdoor|Bergfuchs|Graz|8020|Hans-Resel-Gasse|7|http://www.bergfuchs.at/|graz@bergfuchs.at|+43 316 763300
829461876|15.4322077|47.0669640|electronics|Neuhold Elektronik|Graz|8020|Griesplatz|1||office@neuhold-elektronik.at|
831494268|15.4544633|47.0587014|beauty||||||||
831494299|15.4540415|47.0593886|beauty|Fingernagelstudio Eva|Graz|8010|Moserhofgasse|49|||
831723950|15.4603368|47.0586958|copyshop|Copy Shop|Graz|8010|Inffeldgasse|10|http://deincopyshop.htu.tugraz.at/|studienzentrum@htu.tugraz.at|+43 316 873 4150
836868487|15.4407905|47.0686638|furniture|Hästens|Graz|8010|Stubenberggasse|2|http://www.scandinaviandesignhouse.at||+43 316 837956
847359441|15.4418991|47.0666648|kiosk||Graz|8010|Jakominiplatz|17|||
847359443|15.4420237|47.0672563|kiosk|Trafik Widakowich|Graz|8010|Jakominiplatz||||+43316 824437
847359505|15.4452275|47.0668069|books;stationery|Libro|Graz|8010|Reitschulgasse|16|||+43 316 834653
847359538|15.4427902|47.0695902|optician|Brillenquartier|Graz|8010|Hans-Sachs-Gasse|1|http://brillenquartier.at||+43316 810175
847359579|15.4369811|47.0712514|books|Libro|Graz|8010|||https://www.libro.at/||
847359588|15.4441462|47.0678809|toys|Spielzeugwelt Rieger Puchebner|Graz|8010|Gleisdorfer Gasse|5|www.rieger-puchebner.at||
847359599|15.4375042|47.0713485|clothes|H&M|Graz|8010|Hauptplatz|10|http://www.hm.com/at||+43 800 6655900
847359664|15.4335519|47.0712324|hearing_aids|Neuroth Graz, Haus des Hörens|Graz|8020|Südtiroler Platz|3|http://www.neuroth.at/||+43-316-712011
847359666|15.4467809|47.0662509|bakery|Martin Auer|Graz|8010|Dietrichsteinplatz|13|||
847702371|15.4085470|47.0474734|motorcycle|Motorrad Klug|Graz|8053|Harter Straße|94|http://klug.at|office@motorrad-klug.at|
847793446|15.4155475|47.0341599|sports|SportsDirect.com|||||||
852798091|15.4383223|47.0714089|jewelry|Weikhard|Graz|8010|Hauptplatz|13|http://weikhard.at/kontakt/||
852798104|15.4414074|47.0689653|clothes|Benetton|||||||
852798112|15.4385279|47.0695295|clothes|Brühl & Söhne|Graz|8010|Schmiedgasse||http://www.bruehl.at||+43316 821616 0
852798119|15.4413440|47.0685513|clothes|H&M|Graz|8010|Am Eisernen Tor|11|http://www.hm.com/at/||+43 800 6655900
855364171|15.4415202|47.0681361|clothes|Zara|Graz|8010|Am Eisernen Tor|10|http://www.zara.com/at/||+43 316 820647
861376601|15.4397620|47.0632559|kiosk||||||||
861376605|15.4435014|47.0676909|hats;gloves|Handschuhe Zur Oper|Graz|8010|Jakominiplatz|9|||
861393532|15.4521363|47.0725282|bakery|Martin Auer|Graz|8010|Leonhardstraße|33|http://www.martinauer.at||+43316 804074
861789275|15.4541384|47.0736687|clothes|Carla|||||||
861789280|15.4598732|47.0752824|copyshop|print & copy|Graz|8010|Reiterweg|5|||
863209381|15.4475615|47.0686350|bakery|Martin Auer|Graz|8010|Kaiser-Josef-Platz|4|||
863999208|15.4432415|47.0538098|greengrocer||||||||
864679952|15.4360678|47.0698316|alteration|Schneiderei Neutor|Graz|8010|Neutorgasse|30|||
866917628|15.4436304|47.0632193|kiosk|Ortweinstand|||||||
868971333|15.4425772|47.0671215|confectionery|Nowi|Graz|8010|Jakominiplatz|16|||+43 316 828843
876221824|15.4050312|47.0302378|motorcycle|Hein Gericke|Graz|8054|Schwarzer Weg|4a|http://www.hein-gericke.at/|graz@hg-shop.com|
876289110|15.4206834|47.1071721|computer|Ulbel & Freidorfer|Graz|8045|Andritzer Reichsstraße|66|http://www.stcomputer.at/|Office@StComputer.at|
876289145|15.4215534|47.1032727|kiosk|Tabak Trafik|Graz|8045|Andritzer Reichsstraße|37b|||
877058343|15.4396820|47.0704352|household|Klammerth|Graz|8010|Herrengasse|7-9|http://www.klammerth.at/|office@klammerth.at|+43 316 825618 30
877362481|15.4197235|47.0712439|kiosk||||||||
877362482|15.4209961|47.0711831|furniture|Leiner|Graz|8020|Annenstraße|65|https://www.leiner.at/filialen/leiner-graz||
879568194|15.4357068|47.0714518|sports|Giga-Sport||||||graz@gigasport.at|
879568198|15.4347412|47.0774821|bakery|Schloßbergbäckerei|Graz|8010|Wickenburggasse|15|||
881373098|15.4340364|47.0591673|massage|Physio + Mur|Graz|8020|Grieskai|104|||
881888270|15.4259352|47.0679752|outdoor|Northland|Graz|8020|Elisabethinergasse|22|http://www.northland-pro.com/de/|office@northland-pro.com|
881888285|15.4319745|47.0666490|laundry||||||||
881888288|15.4316579|47.0669374|kiosk||||||||
881888291|15.4306407|47.0573599|car||||||||
881888293|15.4315653|47.0642427|supermarket|Kemal Ünal KG|Graz|8020|Griesplatz|15|||
882052299|15.4239625|47.0638709|fishing||||||||
882775794|15.4277865|47.0667239|bicycle|Evolution Sports|Graz|8020|Rösselmühlgasse|26|http://members.inode.at/evol.sports/main.htm|shop@evolutionsports.net|
882775822|15.4277883|47.0696923|bicycle|Radsport Vychodil|Graz|8020|Elisabethinergasse|15|www.radsportvychodil.at||
883061890|15.4363714|47.0707865|bakery|Sorger|Graz|8010|Franziskanerplatz|14|http://www.sorgerbrot.at||+43316 83 16 96
883216220|15.4284177|47.0709485|vacant||Graz|8020|Annenstraße|23|||
885451366|15.4397231|47.0684275|bakery|Martin Auer|Graz|8010|Schmiedgasse|27|||
885451445|15.4409424|47.0668764|stationery|Füllfederhaus M. Störtz|Graz|8010|Radetzkystraße|4|||
885451455|15.4380219|47.0701669|hairdresser||||||||
885451524|15.4370951|47.0706557|household|Küchenfee|Graz|8010|Franziskanerplatz|12|||+43 316 849018
885451549|15.4441115|47.0669785|books|Avalon|Graz|8010|Reitschulgasse|6|http://www.avalon.co.at/kontakt.php||
885868198|15.4518310|47.0650228|copyshop|Copy Shop|||||http://deincopyshop.htu.tugraz.at/|kopierzentrum@htu.tugraz.at|
886773312|15.4171589|47.0334565|bakery|Backhaus|||||||
892559099|15.4347280|47.0755765|beauty|Fingernagelstudio Stylissimo|||||||
892559153|15.4352130|47.0745182|hardware|Knöpfe und Geweihwaren Hirt|Graz|8010|Kaiser-Franz-Josef-Kai|34|http://www.hirt-austria.at/|info@hirt-austria.at|
892852956|15.4581247|47.0881525|laundry||||||||
898031263|15.4415939|47.0676043|hairdresser|BIPA Styling Lounge|Graz|8010|Jakominiplatz|25|http://www.stylinglounge.at||+43316828559
905976489|15.4385965|47.0721737|ice_cream|sax|Graz|8010|Sporgasse|13|||
905976492|15.4384308|47.0718030|stationery|Schediwy|Graz|8010|Sporgasse|6|http://schediwy.at/|papier@schediwy.at|
906742086|15.4333110|47.0667612|music|Musik Hammer|Graz|8020|Storchgasse|4||office@musikhammer.at|
906742088|15.4396881|47.0724616|bakery|Hofbäckerei Edegger-Tax|Graz|8010|Hofgasse|6|http://www.hofbaeckerei.at|service@hofbaeckerei.at|
906896638|15.4401534|47.0696451|optician|Wutscher Optik|Graz|8010|Herrengasse|18|http://wutscher-optik.at/||+43 316 829840
906896660|15.4410618|47.0688912|ice_cream|il gelato|Graz|8010|Herrengasse|28|||
906985518|15.4338687|47.0780750|bicycle|Bicycle|Graz|8010|Körösistraße|5|http://www.bicycle.at/|rep@bicycle.at|
912575390|15.4319924|47.0710406|shoes|Baumgartner|||||||
919891124|15.4459275|47.0785526|hairdresser|Schönheitssalon Maria & Maria|||||||
924660839|15.4199118|47.0723750|deli||||||||
926922277|15.4642088|47.0399218|toys|Gungl|Graz|8041|Ostbahnstraße|3|||
926922293|15.4638299|47.0402719|laundry|Die Putzerei|Graz|8041|Ostbahnstraße|3|http://www.murpark.at/de/shops-gastro/die-putzerei||+43 316 483201
926922301|15.4635199|47.0406963|optician|Pearle|Graz|8041|Ostbahnstraße|3|||
926922305|15.4617126|47.0408797|clothes|H&M|Graz|8041|Ostbahnstraße|3|||
926922313|15.4612215|47.0410794|shoes|Stiefelkönig|Graz|8041|Ostbahnstraße|3|||
926922329|15.4644763|47.0401222|sports|Hervis|Graz|8041|Ostbahnstraße|3|||
926922340|15.4613180|47.0410022|shoes|Humanic|Graz|8041|Ostbahnstraße|3|||
926922342|15.4638617|47.0403198|florist|Blumen Grollitsch|Graz|8041|Ostbahnstraße|3|||
926922354|15.4632620|47.0407277|household|WMF|Graz|8041|Ostbahnstraße|3|||
926922357|15.4626562|47.0406199|hairdresser|DM Frisör|Graz|8041|Ostbahnstraße|3|||
926922366|15.4630337|47.0407824|confectionery|Hussel|Graz|8041|Ostbahnstraße|3|||
926922367|15.4621154|47.0411678|mobile_phone|Drei|Graz|8041|Ostbahnstraße|3|||
926922369|15.4630563|47.0404897|coffee|Eduscho|Graz|8041|Ostbahnstraße|3|||
926922376|15.4633588|47.0406488|hairdresser|Mayer|Graz|8041|Ostbahnstraße|3|||
926922379|15.4656028|47.0397712|clothes|New Yorker|Graz|8041|Ostbahnstraße|3|||
926922383|15.4632018|47.0407518|optician|Wutscher|Graz|8041|Ostbahnstraße|3|||
926922386|15.4612218|47.0412881|clothes|Kastner & Öhler|Graz|8041|Ostbahnstraße|3|||
926922393|15.4619794|47.0412148|travel_agency|TUI|Graz|8041|Ostbahnstraße|3|||
926922397|15.4631870|47.0404171|books|Thalia|Graz|8041|Ostbahnstraße|3||murpark@thalia.at|
926922400|15.4619640|47.0407641|clothes|C&A|Graz|8041|Ostbahnstraße|3|||
929232420|15.4429989|47.0696312|fairtrade|chic ethic Fair-trade-shop|Graz|8010|Tummelplatz|9|http://chic-ethic.at||
930653462|15.4386853|47.0711678|boutique|Palmers|Graz|8010|Hauptplatz|15|https://www.palmers-shop.com||
937611029|15.4366484|47.0710863|clothes|Vögele|Graz|8010|Murgasse|5|http://www.charles-voegele.at||+43316 829193
937611032|15.4393745|47.0688866|leather|Leder H.Schuster|Graz|8010|Schmiedgasse||||+43316 829 201
952486548|15.4320063|47.0657735|supermarket|KARA Supermarkt|Graz|8020|Griesplatz|6|||
956383332|15.4361896|47.0712962|deli|Delikatessen Nussbaumer||8010|Paradeisgasse||http://www.delikatessen-nussbaumer.at/graz/impressum/||
956385105|15.4423438|47.0693445|newsagent||||||||
956385107|15.4415607|47.0688313|kiosk||||||||
956385771|15.4489915|47.0756560|newsagent||||||||
956386721|15.4464933|47.0787078|newsagent|Trafik Hütter|||||||
956389155|15.4599286|47.0844277|newsagent||||||||
960249733|15.4421844|47.0669769|shoes|Snipes|Graz|8010|Jakominiplatz|17|http://www.snipes.at/||
964874127|15.4286029|47.0519291|kiosk||||||||
964893084|15.4413152|47.0657386|clothes|Army & Western Shop|Graz|8010|Schönaugasse|10|www.army-western-shop-graz.at|shop@us-a.at|
967334127|15.4354511|47.0727550|books|Graztiax|Graz|8010|Kaiser-Franz-Josef-Kai|14|||
968913072|15.4348077|47.0775805|tailor|Änderungen Schneiderei|Graz|8010|Wickenburggasse|15|||
970742199|15.4436203|47.0677046|bakery|Kern|Graz|8010|Jakominiplatz|10|http://www.baeckerei-kern.at||
971748352|15.4419126|47.0677633|shoes|Shoe4You|Graz|8010|Jakominiplatz|1-4|http://www.shoe4you.com/at||
971748355|15.4415537|47.0675700|chemist|BIPA|Graz|8010|Jakominiplatz|25|http://www.bipa.at||+43316828533
971748376|15.4442907|47.0676602|hairdresser|DM|||||||
971973158|15.4449159|47.0680439|photo|Opernfoto|Graz|8010|Gleisdorfer Gasse||http://www.opernfoto.at||+43316 81 88 88
971973167|15.4447553|47.0680095|shoes|Baumgartner|Graz|8010|Gleisdorfer Gasse|15|http://www.baumgartner-schuhe.at/de/kontakt/standorte/||
973940544|15.4233121|47.1033854|toys|Kicker|Graz|8045|Zelinkagasse|1|||
976848604|15.4386750|47.0676774|key|Haus der Sicherheit|Graz|8010|Kaiserfeldgasse|20|||
982622758|15.4674948|47.0789538|kiosk|Tabak Trafik|||||||
991630050|15.4436229|47.0780251|bakery|Hubert Auer|||||||
991630067|15.4438626|47.0776066|tailor|Schneiderei Geidorf|||||||
991630106|15.4438369|47.0780755|florist|Blumen Geidorf|||||||
991630246|15.4676269|47.0789619|florist|Blumen Steiner|||||||
991630464|15.4437012|47.0780474|yes|Geidorf-Standl|||||||
991630480|15.4443501|47.0780078|chemist|Bipa|Graz|8010|Heinrichstraße|6|||
991630498|15.4438113|47.0778451|vacant||Graz|8010|Heinrichstraße|2|||
991630578|15.4627924|47.0778020|supermarket|Biofeld|Graz|8010|Elisabethstraße|84-88|http://www.biofeld.co.at/|graz@biofeld.co.at|
991630624|15.4439635|47.0779017|hearing_aids|Pasaricek|Graz|8010|Heinrichstraße|2|||
991630711|15.4438875|47.0778734|clothes|Geidorf Moden|Graz|8010|Heinrichstraße|2|||
992768394|15.4384431|47.0202356|supermarket|Spar Markt 24/7|Graz|8055|Triester Straße|459|www.avido.cc||
992769126|15.4438025|47.0332090|convenience|Billa stop & shop|Graz|8055|Puntigamer Straße|125|www.jet-tankstellen.at||
993870727|15.4512194|47.0625978|kiosk|Tabak Trafik Lesky|||||||
993871183|15.4385951|47.0548724|outdoor||||||||
994994627|15.4204841|47.0610170|shoes|Pittarello|Graz|8020|Kärntner Straße|30|||
994994691|15.4670224|47.0794931|chemist|Bipa|||||||
994994983|15.4674112|47.0795919|hairdresser|intercoiffeur mayer|||||||
994996043|15.4672572|47.0793196|florist|Zur Blumenquelle|||||||
994996667|15.3950104|47.0501886|kiosk||||||||
997695974|15.4366208|47.0721166|chemist|DM|Graz|8010|Sackstraße|7-13|https://www.dm-drogeriemarkt.at/||
1002989888|15.4395572|47.0725671|newsagent||||||||
1014383007|15.4418831|47.0704670|books||||||||
1020071369|15.4442245|47.0664961|bicycle||Graz|8010|Mondscheingasse|4|||
1026751398|15.4453738|47.0667974|spices|Orientalische Gewürze|Graz|8010|Reitschulgasse|18|www.orientalischegewuerze.at|gewuerze@orientalischegewuerze.at|
1026751416|15.4457422|47.0669497|hairdresser|Zopfgeschwister|Graz|8010|Reitschulgasse|27|https://www.facebook.com/Zopfgeschwister|mail@roros.at|
1026751437|15.4453304|47.0669948|clothes|kik|Graz|8010|Reitschulgasse||||
1026751440|15.4438560|47.0670128|optician|Optik Rossmann|Graz|8010|Reitschulgasse|2|http://optik-rossmann.at|optik.rossmann@aon.at|+43 316 83 74 51
1026751446|15.4439249|47.0671846|kitchen|Bosch Küche|Graz|8010|Reitschulgasse||||
1026751482|15.4451520|47.0668440|vacant||Graz|8010|Reitschulgasse|||handyking@inode.at|
1026751490|15.4461241|47.0669118|clothes|Sestra Store|Graz|8010|Schlögelgasse|14|https://www.facebook.com/sestra.store||+43 660 4545031
1026751496|15.4449144|47.0670495|bakery|Frischbackstube Regula|Graz|8010|Reitschulgasse|15|||
1026751510|15.4435547|47.0670541|variety_store|TEDi|Graz|8010|Jakominiplatz|14|||
1026751537|15.4445621|47.0669230|dessous|Erika Medwed Dessous|Graz|8010|Reitschulgasse|10|http://www.medwed-dessous.at|office@medwed-dessous.at|
1026751548|15.4455187|47.0669722|vacant|Foto Riedl|Graz|8010|Reitschulgasse|23|http://fotoriedl.at/|office@fotoriedl.at|
1026751563|15.4447419|47.0670663|vacant||Graz|8010|Reitschulgasse||||
1026751566|15.4443468|47.0669542|chemist|Bipa|Graz|8010|Reitschulgasse|8|www.bipa.at||
1026751575|15.4456510|47.0667581|travel_agency|LUGGIN Reisen|Graz|8010|Reitschulgasse|20|www.reisebuero-luggin.at|info@reisebuero-luggin.at|
1026751583|15.4449785|47.0668370|clothes|Welt Laden|Graz|8010|Reitschulgasse|14|||+43316 848315
1026751611|15.4443829|47.0671157|convenience|BetSy's|Graz|8010|Reitschulgasse||||
1026751615|15.4450805|47.0670279|mobile_phone|Handy 007|Graz|8010|Reitschulgasse|||Kal.desem@hotmail.com|
1026751630|15.4445062|47.0671021|hairdresser|Klipp|Graz|8010|Reitschulgasse|11|https://klipp.at/||
1026751645|15.4460725|47.0667017|variety_store|SEWA|Graz|8010|Dietrichsteinplatz|16|||
1026751653|15.4444544|47.0669303|clothes|Moda Lisa|Graz|8010|Reitschulgasse|10|www.modalisa.at|office@modalisa.at|
1026751687|15.4442217|47.0669678|mobile_phone|HANDY FOR YOU|||||||
1026751708|15.4443084|47.0671241|mobile_phone|Handy King|Graz|8010|Reitschulgasse|7|https://www.facebook.com/handyking8010/||+43 664 5949951
1026751719|15.4440307|47.0669896|vacant||Graz|8010|Reitschulgasse|4|||
1027010014|15.4518812|47.0594169|supermarket|Billa|Graz|8010|Münzgrabenstraße|92|||
1027319471|15.4511808|47.0750554|vacant||Graz|8010|Beethovenstraße|9|||
1031026803|15.4480448|47.0682220|kiosk||||||||
1031793655|15.4426640|47.0651153|mobile_phone|Handypoint|Graz|8010|Jakoministraße|27|||
1032921032|15.4595329|47.0908543|supermarket|Spar|Graz|8043|Mariatroster Straße|41|||
